Date:  09:16, Wednesday, March 03, 2021
Model name: Composite Rim
Study name: 3D Plane Strain(-Ha 1999-)
Plot type: Static nodal stress Radial Stress
Reference geometry: Axis1
Result Type: SX 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
46  ,-2.590e+07  ,50.00000000  ,0.00000000  ,0.00000000
11983  ,-1.078e+07  ,51.92307663  ,0.00000000  ,0.00000000
652  ,3.627e+06  ,53.84615326  ,0.00000000  ,0.00000000
8061  ,1.452e+07  ,55.76922989  ,0.00000000  ,0.00000000
651  ,2.424e+07  ,57.69230652  ,0.00000000  ,0.00000000
8068  ,3.320e+07  ,59.61538315  ,0.00000000  ,0.00000000
650  ,4.019e+07  ,61.53845978  ,0.00000000  ,0.00000000
8073  ,4.546e+07  ,63.46154022  ,0.00000000  ,0.00000000
649  ,4.983e+07  ,65.38462067  ,0.00000000  ,0.00000000
8078  ,5.375e+07  ,67.30769348  ,0.00000000  ,0.00000000
648  ,5.684e+07  ,69.23077393  ,0.00000000  ,0.00000000
8084  ,5.845e+07  ,71.15384674  ,0.00000000  ,0.00000000
647  ,5.771e+07  ,73.07692719  ,0.00000000  ,0.00000000
8091  ,5.679e+07  ,75.00000000  ,0.00000000  ,0.00000000
646  ,5.516e+07  ,76.92308044  ,0.00000000  ,0.00000000
8097  ,5.346e+07  ,78.84615326  ,0.00000000  ,0.00000000
645  ,5.177e+07  ,80.76923370  ,0.00000000  ,0.00000000
8102  ,4.923e+07  ,82.69230652  ,0.00000000  ,0.00000000
644  ,4.569e+07  ,84.61538696  ,0.00000000  ,0.00000000
8107  ,4.129e+07  ,86.53846741  ,0.00000000  ,0.00000000
643  ,3.660e+07  ,88.46154022  ,0.00000000  ,0.00000000
8114  ,3.126e+07  ,90.38462067  ,0.00000000  ,0.00000000
642  ,2.614e+07  ,92.30769348  ,0.00000000  ,0.00000000
8120  ,2.002e+07  ,94.23077393  ,0.00000000  ,0.00000000
641  ,1.381e+07  ,96.15384674  ,0.00000000  ,0.00000000
8885  ,6.915e+06  ,98.07692719  ,0.00000000  ,0.00000000
505  ,-3.591e+05  ,100.00000000  ,0.00000000  ,-0.00000000
