Date:  09:17, Wednesday, March 03, 2021
Model name: Composite Rim
Study name: 3D Plane Strain(-Ha 1999-)
Plot type: Static nodal stress Hoop Stress
Reference geometry: Axis1
Result Type: SY 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
46  ,6.471e+08  ,50.00000000  ,0.00000000  ,0.00000000
11983  ,6.221e+08  ,51.92307663  ,0.00000000  ,0.00000000
652  ,5.991e+08  ,53.84615326  ,0.00000000  ,0.00000000
8061  ,5.785e+08  ,55.76922989  ,0.00000000  ,0.00000000
651  ,5.577e+08  ,57.69230652  ,0.00000000  ,0.00000000
8068  ,5.409e+08  ,59.61538315  ,0.00000000  ,0.00000000
650  ,5.249e+08  ,61.53845978  ,0.00000000  ,0.00000000
8073  ,5.097e+08  ,63.46154022  ,0.00000000  ,0.00000000
649  ,4.937e+08  ,65.38462067  ,0.00000000  ,0.00000000
8078  ,4.809e+08  ,67.30769348  ,0.00000000  ,0.00000000
648  ,4.676e+08  ,69.23077393  ,0.00000000  ,0.00000000
8084  ,4.550e+08  ,71.15384674  ,0.00000000  ,0.00000000
647  ,4.419e+08  ,73.07692719  ,0.00000000  ,0.00000000
8091  ,4.302e+08  ,75.00000000  ,0.00000000  ,0.00000000
646  ,4.181e+08  ,76.92308044  ,0.00000000  ,0.00000000
8097  ,4.078e+08  ,78.84615326  ,0.00000000  ,0.00000000
645  ,3.980e+08  ,80.76923370  ,0.00000000  ,0.00000000
8102  ,3.890e+08  ,82.69230652  ,0.00000000  ,0.00000000
644  ,3.800e+08  ,84.61538696  ,0.00000000  ,0.00000000
8107  ,3.718e+08  ,86.53846741  ,0.00000000  ,0.00000000
643  ,3.632e+08  ,88.46154022  ,0.00000000  ,0.00000000
8114  ,3.545e+08  ,90.38462067  ,0.00000000  ,0.00000000
642  ,3.461e+08  ,92.30769348  ,0.00000000  ,0.00000000
8120  ,3.381e+08  ,94.23077393  ,0.00000000  ,0.00000000
641  ,3.308e+08  ,96.15384674  ,0.00000000  ,0.00000000
8885  ,3.238e+08  ,98.07692719  ,0.00000000  ,0.00000000
505  ,3.170e+08  ,100.00000000  ,0.00000000  ,-0.00000000
