S (m),X Coordinate (m),Y Coordinate (m),Z Coordinate (m),Normal Stress (Pa)
0,5.00E-02,0,0,7.36E+08
3.13E-03,5.31E-02,0,0,6.90E+08
6.25E-03,5.63E-02,0,0,6.43E+08
9.38E-03,5.94E-02,0,0,6.07E+08
1.25E-02,6.25E-02,0,0,5.71E+08
1.56E-02,6.56E-02,0,0,5.40E+08
1.88E-02,6.88E-02,0,0,5.10E+08
2.19E-02,7.19E-02,0,0,4.84E+08
2.50E-02,7.50E-02,0,0,4.58E+08
2.81E-02,7.81E-02,0,0,4.34E+08
3.13E-02,8.13E-02,0,0,4.11E+08
3.44E-02,8.44E-02,0,0,3.89E+08
3.75E-02,8.75E-02,0,0,3.67E+08
4.06E-02,9.06E-02,0,0,3.45E+08
4.38E-02,9.38E-02,0,0,3.24E+08
4.69E-02,9.69E-02,0,0,3.03E+08
5.00E-02,0.1,0,0,2.83E+08
